K,Metric,LightGCN,DeepFM,SASRec,Dynamic Fusion
5,PRECISION,0.0254,0.0087,0.0501,0.0509
5,RECALL,0.1271,0.0436,0.2505,0.2543
5,F1,0.0424,0.0145,0.0835,0.0848
5,NDCG,0.0815,0.0252,0.1792,0.1741
5,MAP,0.0666,0.0193,0.1556,0.1475
10,PRECISION,0.0195,0.0066,0.0351,0.0374
10,RECALL,0.1954,0.0664,0.3510,0.3738
10,F1,0.0355,0.0121,0.0638,0.0680
10,NDCG,0.1037,0.0325,0.2110,0.2121
10,MAP,0.0758,0.0223,0.1684,0.1628
20,PRECISION,0.0142,0.0072,0.0238,0.0236
20,RECALL,0.2846,0.1442,0.4763,0.4725
20,F1,0.0271,0.0137,0.0454,0.0450
20,NDCG,0.1257,0.0518,0.2427,0.2370
20,MAP,0.0816,0.0274,0.1771,0.1696
